Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2000-01-03,TELCO,EQ,201.6,207.4,217.25,207.4,217.0,216.75,214.28,676126,14487752460000.0,,,
2000-01-04,TELCO,EQ,216.75,217.0,219.0,206.0,211.9,208.2,209.5,679215,14229618694999.998,,,
2000-01-05,TELCO,EQ,208.2,194.0,217.8,194.0,213.1,213.25,210.33,1120951,23576835995000.0,,,
2000-01-06,TELCO,EQ,213.25,215.0,229.9,215.0,222.0,222.1,225.29,1968998,44359324810000.0,,,
2000-01-07,TELCO,EQ,222.1,224.0,239.9,223.1,239.9,239.9,236.32,2199431,51976361765000.0,,,
2000-01-10,TELCO,EQ,239.9,259.0,259.1,248.0,259.1,258.85,257.2,1720542,44253025760000.0,,,
2000-01-11,TELCO,EQ,258.85,260.0,260.0,238.15,238.15,238.15,246.63,1207916,29790818264999.996,,,
2000-01-12,TELCO,EQ,238.15,240.0,246.0,229.0,242.45,240.25,237.13,938579,22256459195000.0,,,
2000-01-13,TELCO,EQ,240.25,243.0,245.0,231.6,233.0,235.45,237.31,565754,13426092590000.0,,,
2000-01-14,TELCO,EQ,235.45,234.95,243.0,233.0,239.8,239.05,239.04,1024725,24495040200000.0,,,
2000-01-17,TELCO,EQ,239.05,242.95,258.1,242.95,251.0,250.65,252.65,1482994,37468336605000.0,,,
2000-01-18,TELCO,EQ,250.65,251.0,252.5,245.05,250.0,248.0,248.46,792347,19686656390000.0,,,
2000-01-19,TELCO,EQ,248.0,251.0,257.9,242.6,249.5,250.5,249.51,1221042,30466078260000.004,,,
2000-01-20,TELCO,EQ,250.5,250.0,250.0,233.6,234.0,235.7,242.37,557949,13523230465000.0,,,
2000-01-21,TELCO,EQ,235.7,230.1,233.8,225.5,231.1,232.2,230.09,696339,16021982135000.0,,,
2000-01-24,TELCO,EQ,232.2,230.0,235.9,213.65,213.65,213.65,223.44,1125168,25140781385000.0,,,
2000-01-25,TELCO,EQ,213.65,200.35,204.9,196.6,196.6,196.6,198.54,706121,14019448210000.0,,,
2000-01-27,TELCO,EQ,196.6,190.0,193.0,180.9,180.9,180.9,182.54,1728526,31552431125000.0,,,
2000-01-28,TELCO,EQ,180.9,171.0,182.0,168.35,175.0,175.2,174.95,2671887,46745717610000.0,,,
